date,product_id,store_id,price,promotion,stock_level,units_sold
2022-01-01,Product_A,Store_1,11.43,1,94,122
2022-01-02,Product_A,Store_1,11.14,0,150,110
2022-01-03,Product_A,Store_1,8.02,0,207,94
2022-01-04,Product_A,Store_1,21.46,0,108,93
2022-01-05,Product_A,Store_1,16.41,0,83,95
2022-01-06,Product_A,Store_1,21.37,0,40,85
2022-01-07,Product_A,Store_1,10.15,0,103,87
2022-01-08,Product_A,Store_1,21.42,0,27,118
2022-01-09,Product_A,Store_1,24.62,0,153,97
2022-01-10,Product_A,Store_1,12.07,0,210,90
2022-01-11,Product_A,Store_1,24.0,0,34,101
2022-01-12,Product_A,Store_1,19.46,0,209,93
2022-01-13,Product_A,Store_1,20.91,0,236,98
2022-01-14,Product_A,Store_1,25.65,0,84,112
2022-01-15,Product_A,Store_1,8.12,0,158,104
2022-01-16,Product_A,Store_1,24.04,0,52,117
2022-01-17,Product_A,Store_1,26.7,0,31,103
2022-01-18,Product_A,Store_1,22.71,0,56,99
2022-01-19,Product_A,Store_1,16.42,0,194,102
2022-01-20,Product_A,Store_1,23.88,0,161,81
2022-01-21,Product_A,Store_1,17.67,0,198,92
2022-01-22,Product_A,Store_1,18.46,0,115,116
2022-01-23,Product_A,Store_1,24.62,0,55,108
2022-01-24,Product_A,Store_1,14.37,1,105,110
2022-01-25,Product_A,Store_1,17.16,1,209,109
2022-01-26,Product_A,Store_1,15.84,0,209,97
2022-01-27,Product_A,Store_1,26.94,0,122,112
2022-01-28,Product_A,Store_1,17.18,0,184,97
2022-01-29,Product_A,Store_1,19.41,0,199,114
2022-01-30,Product_A,Store_1,13.54,0,149,120
2022-01-31,Product_A,Store_1,9.13,0,248,101
2022-02-01,Product_A,Store_1,13.27,0,149,126
2022-02-02,Product_A,Store_1,13.23,0,57,113
2022-02-03,Product_A,Store_1,21.94,0,158,109
2022-02-04,Product_A,Store_1,12.1,0,112,97
2022-02-05,Product_A,Store_1,8.36,1,214,182
2022-02-06,Product_A,Store_1,23.2,0,147,107
2022-02-07,Product_A,Store_1,11.03,0,239,108
2022-02-08,Product_A,Store_1,13.03,0,163,122
2022-02-09,Product_A,Store_1,29.92,0,159,107
2022-02-10,Product_A,Store_1,15.68,0,67,89
2022-02-11,Product_A,Store_1,27.52,0,139,116
2022-02-12,Product_A,Store_1,16.19,1,236,158
2022-02-13,Product_A,Store_1,14.25,0,129,137
2022-02-14,Product_A,Store_1,23.67,0,52,93
2022-02-15,Product_A,Store_1,16.06,0,155,112
2022-02-16,Product_A,Store_1,19.19,0,233,109
2022-02-17,Product_A,Store_1,29.41,0,128,87
2022-02-18,Product_A,Store_1,19.06,0,47,118
2022-02-19,Product_A,Store_1,12.3,0,80,126
2022-02-20,Product_A,Store_1,11.9,0,239,122
2022-02-21,Product_A,Store_1,16.14,0,56,105
2022-02-22,Product_A,Store_1,26.73,1,86,148
2022-02-23,Product_A,Store_1,16.68,0,73,92
2022-02-24,Product_A,Store_1,13.59,0,149,96
2022-02-25,Product_A,Store_1,23.33,0,62,121
2022-02-26,Product_A,Store_1,25.82,0,172,131
2022-02-27,Product_A,Store_1,19.03,0,192,117
2022-02-28,Product_A,Store_1,27.58,0,234,117
2022-03-01,Product_A,Store_1,10.07,0,234,115
2022-03-02,Product_A,Store_1,13.51,0,189,110
2022-03-03,Product_A,Store_1,19.49,0,72,110
2022-03-04,Product_A,Store_1,12.28,0,113,121
2022-03-05,Product_A,Store_1,23.97,0,32,122
2022-03-06,Product_A,Store_1,17.54,1,77,172
2022-03-07,Product_A,Store_1,12.06,0,81,104
2022-03-08,Product_A,Store_1,28.13,0,53,105
2022-03-09,Product_A,Store_1,22.52,0,136,111
2022-03-10,Product_A,Store_1,24.06,0,214,102
2022-03-11,Product_A,Store_1,11.49,0,105,129
2022-03-12,Product_A,Store_1,15.62,0,241,132
2022-03-13,Product_A,Store_1,28.88,0,119,131
2022-03-14,Product_A,Store_1,23.05,0,35,142
2022-03-15,Product_A,Store_1,8.58,0,147,111
2022-03-16,Product_A,Store_1,22.15,0,180,91
2022-03-17,Product_A,Store_1,21.77,0,84,123
2022-03-18,Product_A,Store_1,12.72,1,65,133
2022-03-19,Product_A,Store_1,15.4,0,109,117
2022-03-20,Product_A,Store_1,13.74,0,154,114
2022-03-21,Product_A,Store_1,27.3,0,183,123
2022-03-22,Product_A,Store_1,25.75,0,196,116
2022-03-23,Product_A,Store_1,16.18,0,115,104
2022-03-24,Product_A,Store_1,24.52,0,236,109
2022-03-25,Product_A,Store_1,27.86,0,81,122
2022-03-26,Product_A,Store_1,16.56,0,159,133
2022-03-27,Product_A,Store_1,10.01,1,218,161
2022-03-28,Product_A,Store_1,21.9,1,136,162
2022-03-29,Product_A,Store_1,15.23,0,142,117
2022-03-30,Product_A,Store_1,28.48,0,205,108
